TotalFactoryWorkers,AnnualProfit
65894,59966
92482,121340
58918,18495
82111,65426
79334,45623
80959,41164
56063,33928
128360,101170
63534,54974
63328,14233
63589,-14211
62742,24756
56397,46042
93102,39624
94536,54141
88254,51694
51793,-7427.9
212790,179290
149080,120540
189590,170540
72182,48852
82951,57442
102360,77754
54994,10173
203410,209920
101360,66799
61101,175920
55277,91302
85186,136620
70032,118540
58598,68233
83829,118860
74764,43483
85781,120000
64862,65987
50546,38166
57107,32522
141640,155050
57340,31551
84084,72258
56407,7161.8
53794,35129
63654,53048
51301,5607.7
64296,36518
70708,53893
61891,31386
202700,217670
54901,42630
63261,51875
55649,30825
189450,226380
128280,135010
109570,70467
131760,146920
222030,241470
52524,-12200
91802,67981
60020,9269.5
55204,1520
50594,28214
57077,18451
76366,42959
58707,72029
,43565
53054,19869
82934,1445.4
133940,90551
54369,6170.5
73345,40259
60062,12784
72259,33411
50269,-26807
65479,2967.8
75386,38845
50365,57014
102740,67526
51077,20576
57292,4795.3
51884,2042.1
63557,6786.1
97687,75435
65159,53436
85172,42415
54069,5565.7
68825,39115
117080,53854
57737,24406
78247,67318
70931,10463
12546,
50702,51337
58014,18440
117000,80043
55416,10179
75402,67504
53077,18396
74239,42885
76031,49981
